,model__gamma,model__learning_rate,model__max_depth,model__n_estimators,model__objective,score,train_score,train_test_diff
0,1.0766139223893914e-08,0.258450832341508,3,930,count:poisson,-0.00695552764679438,-0.0047092213382256,0.00224630630856878
1,3.369560897958231e-08,0.30853825979994687,5,539,count:poisson,-0.007532972107875947,0.001283731497493279,0.008816703605369226
2,1.8739346512279165e-05,0.07175585757208466,4,299,count:poisson,-0.006872689743348005,-0.00647413288070194,0.00039855686264606525
3,0.5165762832900822,0.0841283423242066,4,837,count:poisson,-0.006844207766584145,-0.0060577666815106275,0.0007864410850735174
4,0.5612043909526157,0.21951527129472698,3,482,count:poisson,-0.006874298427491431,-0.006511779371838851,0.00036251905565258015
5,0.13267099762596063,0.3964321417025276,5,699,count:poisson,-0.0071351853938784356,-0.001975419482682206,0.00515976591119623
6,396.25139436287975,0.1362246101673745,5,173,count:poisson,-0.008283704394867194,-0.008283696534378585,7.86048860897115e-09
7,0.15763549953925146,0.4270583458218589,8,81,count:poisson,-0.007456590163106069,0.00138323765937635,0.008839827822482419
8,238.41858335424396,0.45816666872759537,2,447,count:poisson,-0.008213879346872264,-0.008213703649099976,1.7569777228769456e-07
9,0.00011689748969983738,0.27485517009650995,7,26,count:poisson,-0.0018455753004013196,-0.0010379630176617176,0.000807612282739602
